batch_key,sampling_mode,max_seq,batch_idx,case,status,total_time_ms,speedup_vs_ulysses,solver_wall_s,microbatch_count,tokens,max,p95,p99,ge_128k,ge_256k,ge_384k,ge_512k
tail_conditioned_max131072_b0,tail_conditioned,131072,0,ulysses_ring,ok,14328.385321186339,,1.1908917427062988,3,565312,127168,91870.39999999947,115414.71999999994,0,0,0,0
tail_conditioned_max131072_b1,tail_conditioned,131072,1,ulysses_only,ok,30936.728420331798,1.0,2.816678524017334,3,626784,120480,94687.99999999977,116750.4,0,0,0,0
tail_conditioned_max131072_b1,tail_conditioned,131072,1,ring_only,ok,12465.452579282011,2.4817974496770097,6.0290937423706055,3,626784,120480,94687.99999999977,116750.4,0,0,0,0
tail_conditioned_max131072_b1,tail_conditioned,131072,1,ulysses_ring,ok,12465.45257928201,2.48179744967701,4.584030389785767,3,626784,120480,94687.99999999977,116750.4,0,0,0,0
tail_conditioned_max131072_b2,tail_conditioned,131072,2,ulysses_only,ok,36060.3624249679,1.0,10.912265062332153,3,679776,117792,98854.39999999985,112691.51999999999,0,0,0,0
tail_conditioned_max131072_b2,tail_conditioned,131072,2,ring_only,ok,14985.64999090321,2.4063262152030602,3.6523561477661133,3,679776,117792,98854.39999999985,112691.51999999999,0,0,0,0
tail_conditioned_max131072_b2,tail_conditioned,131072,2,ulysses_ring,ok,14985.64999090321,2.4063262152030602,10.994300365447998,3,679776,117792,98854.39999999985,112691.51999999999,0,0,0,0
tail_conditioned_max131072_b3,tail_conditioned,131072,3,ulysses_only,ok,31289.394338942697,1.0,2.2914037704467773,3,629184,128096,93038.39999999962,124567.99999999999,0,0,0,0
tail_conditioned_max131072_b3,tail_conditioned,131072,3,ring_only,ok,13164.08520328506,2.3768757080920837,0.8977465629577637,3,629184,128096,93038.39999999962,124567.99999999999,0,0,0,0
tail_conditioned_max131072_b3,tail_conditioned,131072,3,ulysses_ring,ok,13164.08520328506,2.3768757080920837,1.2295854091644287,3,629184,128096,93038.39999999962,124567.99999999999,0,0,0,0
tail_conditioned_max131072_b4,tail_conditioned,131072,4,ulysses_only,ok,28952.554385254807,1.0,11.385256290435791,3,588832,122784,89139.19999999956,112703.99999999997,0,0,0,0
tail_conditioned_max131072_b4,tail_conditioned,131072,4,ring_only,ok,11845.5785833996,2.4441654902217214,2.1535046100616455,3,588832,122784,89139.19999999956,112703.99999999997,0,0,0,0
tail_conditioned_max131072_b4,tail_conditioned,131072,4,ulysses_ring,ok,11845.578583399598,2.444165490221722,5.043992042541504,3,588832,122784,89139.19999999956,112703.99999999997,0,0,0,0
real_random_max262144_b0,real_random,262144,0,ulysses_only,ok,16318.920225746984,1.0,5.216251850128174,2,289152,123008,12331.199999999992,55996.15999999973,0,0,0,0
real_random_max262144_b0,real_random,262144,0,ring_only,ok,5413.611957923035,3.014423706867944,57.796159744262695,2,289152,123008,12331.199999999992,55996.15999999973,0,0,0,0
real_random_max262144_b0,real_random,262144,0,ulysses_ring,ok,5413.611957923035,3.014423706867944,389.7024474143982,2,289152,123008,12331.199999999992,55996.15999999973,0,0,0,0
real_random_max262144_b1,real_random,262144,1,ulysses_only,ok,3724.2804703505044,1.0,1.7430064678192139,1,183232,48160,13905.599999999979,28161.27999999992,0,0,0,0
real_random_max262144_b1,real_random,262144,1,ring_only,ok,2012.8818933783227,1.8502230471654022,1.4181740283966064,1,183232,48160,13905.599999999979,28161.27999999992,0,0,0,0
real_random_max262144_b1,real_random,262144,1,ulysses_ring,ok,2012.8818933783227,1.8502230471654022,3.0230119228363037,1,183232,48160,13905.599999999979,28161.27999999992,0,0,0,0
real_random_max262144_b2,real_random,262144,2,ulysses_only,ok,10300.808093441472,1.0,523.3030209541321,2,379136,81376,29724.79999999998,62022.39999999992,0,0,0,0
real_random_max262144_b2,real_random,262144,2,ring_only,ok,3909.459169997734,2.634842223827968,14.099332094192505,2,379136,81376,29724.79999999998,62022.39999999992,0,0,0,0
real_random_max262144_b2,real_random,262144,2,ulysses_ring,ok,3909.4591699977345,2.6348422238279676,230.7757546901703,2,379136,81376,29724.79999999998,62022.39999999992,0,0,0,0
